"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.168811018097791
"Middle.cerebellar.peduncle",0.158988675589938
"Medial.lemniscus.R",0.0972856403078059
"Cerebral.peduncle.L",0.0905657803150939
"Cingulum.(hippocampus).R",0.0724270132625171
"Uncinate.fasciculus.L",0.0329885957293622
"Genu.of.corpus.callosum",0.0262454667387536
"Pontine.crossing.tract.(a.part.of.MCP)",0.0248696907651829
"Corticospinal.tract.R",0.0240204819858777
"Retrolenticular.part.of.internal.capsule.L",0.0213567232680302
"Posterior.limb.of.internal.capsule.L",0.0164490541451362
"Body.of.corpus.callosum",0.00671255382528543
