"Feature","Gain"
"Cerebral.peduncle.L",0.137130140132382
"Anterior.limb.of.internal.capsule.R",0.117518112714806
"Middle.cerebellar.peduncle",0.110583816093287
"Medial.lemniscus.R",0.0972744408212982
"Uncinate.fasciculus.R",0.0848946745928093
"Cingulum.(hippocampus).R",0.0538677659157032
"Genu.of.corpus.callosum",0.0363984019212167
"Retrolenticular.part.of.internal.capsule.L",0.0321895101120531
"Pontine.crossing.tract.(a.part.of.MCP)",0.0319534356503665
"Uncinate.fasciculus.L",0.0308819221627245
"Corticospinal.tract.R",0.0271736595854467
"Body.of.corpus.callosum",0.0209528663336291
"Retrolenticular.part.of.internal.capsule.R",0.0098825116073131
"Medial.lemniscus.L",0.00905467189265084
"Corticospinal.tract.L",0.00900300340848138
