"Feature","Gain"
"Middle.cerebellar.peduncle",0.286127082394762
"Anterior.limb.of.internal.capsule.R",0.140014971160209
"Medial.lemniscus.R",0.0796410015384795
"Pontine.crossing.tract.(a.part.of.MCP)",0.0402558967041769
"Genu.of.corpus.callosum",0.0373286525312824
"Cerebral.peduncle.L",0.0348931365275225
"External.capsule.R",0.0203740411978316
"Posterior.corona.radiata.L",0.0189227015801281
"Uncinate.fasciculus.L",0.0180850876187719
"Corticospinal.tract.R",0.0155556974462565
"Posterior.limb.of.internal.capsule.L",0.0126401795205131
"Retrolenticular.part.of.internal.capsule.L",0.0119618468707401
"Corticospinal.tract.L",0.011531341670187
"Posterior.corona.radiata.R",0.0092348239636752
"Tapetum.L",0.00652476794233092
"Retrolenticular.part.of.internal.capsule.R",0.0026772799815485
