"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.200463967960914
"Middle.cerebellar.peduncle",0.195203551321439
"Cerebral.peduncle.L",0.0781779296949788
"Medial.lemniscus.R",0.0667195835162925
"Cingulum.(hippocampus).R",0.0621726606610337
"Uncinate.fasciculus.R",0.050282672790241
"Corticospinal.tract.R",0.0410555198572259
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0364580364524012
"Pontine.crossing.tract.(a.part.of.MCP)",0.031033082339232
"Genu.of.corpus.callosum",0.0280096983941516
"Body.of.corpus.callosum",0.0167329622538914
"Posterior.limb.of.internal.capsule.L",0.0162057673648862
"Medial.lemniscus.L",0.0155238574307763
"Corticospinal.tract.L",0.0138714963366303
"Uncinate.fasciculus.L",0.0116355699559618
"Retrolenticular.part.of.internal.capsule.L",0.00916624257127613
"Posterior.corona.radiata.L",0.00769811404433522
"Tapetum.L",0.00139511760956298
