"Feature","Gain"
"Middle.cerebellar.peduncle",0.159218054951658
"Anterior.limb.of.internal.capsule.R",0.134315475141049
"Cerebral.peduncle.L",0.120547208820949
"Medial.lemniscus.R",0.0860336783193254
"Uncinate.fasciculus.R",0.0609280525521851
"Cingulum.(hippocampus).R",0.0478233878685182
"Corticospinal.tract.R",0.0410789237403252
"Pontine.crossing.tract.(a.part.of.MCP)",0.0316605085456139
"Genu.of.corpus.callosum",0.0284621804901048
"Superior.longitudinal.fasciculus.R",0.0278731239826039
"Posterior.corona.radiata.R",0.0270896637879744
"External.capsule.R",0.0270552801347576
"Uncinate.fasciculus.L",0.0228220130657446
"Retrolenticular.part.of.internal.capsule.L",0.0186719051541825
"Body.of.corpus.callosum",0.014303866639419
"Inferior.fronto-occipital.fasciculus.L",0.0074108358142809
"Posterior.limb.of.internal.capsule.R",0.00468192844202631
"Retrolenticular.part.of.internal.capsule.R",0.00427428675411001
