"Feature","Gain"
"Middle.cerebellar.peduncle",0.177172575169415
"Anterior.limb.of.internal.capsule.R",0.117491267817299
"Cerebral.peduncle.L",0.111296131695467
"Uncinate.fasciculus.R",0.0618845584222248
"Medial.lemniscus.R",0.0576822761028525
"Cingulum.(hippocampus).R",0.0563581078386089
"Genu.of.corpus.callosum",0.0412420880429042
"Uncinate.fasciculus.L",0.0356086009836841
"Retrolenticular.part.of.internal.capsule.L",0.0206687058816575
"Pontine.crossing.tract.(a.part.of.MCP)",0.0203483960986946
