"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.175332305017676
"Medial.lemniscus.R",0.12140654118292
"Cingulum.(hippocampus).R",0.113833463833051
"Middle.cerebellar.peduncle",0.0961042800351529
"Genu.of.corpus.callosum",0.040673806622312
"Cerebral.peduncle.L",0.0365563950652191
"Pontine.crossing.tract.(a.part.of.MCP)",0.0363945362185553
"Anterior.corona.radiata.L",0.0305505488854187
"External.capsule.R",0.028088119450045
"Medial.lemniscus.L",0.0260930045520079
"Corticospinal.tract.R",0.0252974158641217
"Uncinate.fasciculus.L",0.0229723839089159
"Retrolenticular.part.of.internal.capsule.L",0.018704362612095
"Inferior.cerebellar.peduncle.R",0.0172153299666311
"Posterior.corona.radiata.R",0.0130164920484186
"Inferior.fronto-occipital.fasciculus.L",0.0120755731219014
"Posterior.corona.radiata.L",0.0113379544570372
"Corticospinal.tract.L",0.0101326263507965
"Inferior.cerebellar.peduncle.L",0.00859560852748915
"Tapetum.L",0.0078565818987269
"Fornix.(column.and.body.of.fornix)",0.0069023452433381
