"Feature","Gain"
"Middle.cerebellar.peduncle",0.232744392551527
"Anterior.limb.of.internal.capsule.R",0.186353679093501
"Cerebral.peduncle.L",0.0675725837431258
"Uncinate.fasciculus.R",0.0560081103246972
"Medial.lemniscus.R",0.0519413673426931
"Corticospinal.tract.R",0.0387062757496116
"Genu.of.corpus.callosum",0.0313446203023747
"Pontine.crossing.tract.(a.part.of.MCP)",0.0262039825847893
"Medial.lemniscus.L",0.0216915703300808
"External.capsule.R",0.0213444067293393
"Uncinate.fasciculus.L",0.0152443237448233
"Retrolenticular.part.of.internal.capsule.L",0.00656011070854623
