"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.184767767700249
"Cerebral.peduncle.L",0.140416879661427
"Middle.cerebellar.peduncle",0.0957145311203327
"Medial.lemniscus.R",0.0867567034238034
"Uncinate.fasciculus.R",0.0848648211175348
"Genu.of.corpus.callosum",0.0298878527535165
"Posterior.corona.radiata.R",0.0273576831635787
"Pontine.crossing.tract.(a.part.of.MCP)",0.0229970547489565
"Uncinate.fasciculus.L",0.0227103537883621
"Body.of.corpus.callosum",0.0146581829434241
"External.capsule.R",0.0140060223232171
"Retrolenticular.part.of.internal.capsule.L",0.0111729427436685
