"Feature","Gain"
"Middle.cerebellar.peduncle",0.155041392067045
"Anterior.limb.of.internal.capsule.R",0.133574635333423
"Cerebral.peduncle.L",0.104748518881855
"Uncinate.fasciculus.R",0.0744726923404893
"Medial.lemniscus.R",0.0740995106456731
"Cingulum.(hippocampus).R",0.0516729112415786
"Genu.of.corpus.callosum",0.0468351297117948
"Uncinate.fasciculus.L",0.0323351881450144
"Corticospinal.tract.R",0.0321801803840166
"Pontine.crossing.tract.(a.part.of.MCP)",0.0313359723939207
"Medial.lemniscus.L",0.0213329002577586
"Retrolenticular.part.of.internal.capsule.L",0.0167339351932343
"Body.of.corpus.callosum",0.0157514870645424
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0143999175448152
"Inferior.fronto-occipital.fasciculus.L",0.0052984982128716
"Cerebral.peduncle.R",0.00226133957685401
