"Feature","Gain"
"Middle.cerebellar.peduncle",0.181188198291469
"Cerebral.peduncle.L",0.1248002121474
"Anterior.limb.of.internal.capsule.R",0.11070261601794
"Uncinate.fasciculus.R",0.0933189472069775
"Medial.lemniscus.R",0.0859980454573172
"Cingulum.(hippocampus).R",0.0528895329316462
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0383518908904895
"Uncinate.fasciculus.L",0.0310980665010237
"Genu.of.corpus.callosum",0.0295815977855149
"Pontine.crossing.tract.(a.part.of.MCP)",0.0286729913655943
"Posterior.corona.radiata.R",0.0273216621573269
"Inferior.cerebellar.peduncle.L",0.016608267913039
"External.capsule.R",0.0162290992868196
"Medial.lemniscus.L",0.0153256048020148
"Corticospinal.tract.R",0.0150862727043414
"Body.of.corpus.callosum",0.0118591304668096
"Retrolenticular.part.of.internal.capsule.L",0.0111629073852328
"Corticospinal.tract.L",0.00568671966634291
"Inferior.fronto-occipital.fasciculus.L",0.0052522801442171
"Posterior.corona.radiata.L",0.00191419209692835
"Fornix.(column.and.body.of.fornix)",0.000929271224832487
