"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.153255724652912
"Anterior.limb.of.internal.capsule.L",0.127212237412517
"Inferior.fronto-occipital.fasciculus.R",0.125089929961453
"Superior.corona.radiata.L",0.0991602252391037
"Fornix.(column.and.body.of.fornix)",0.0603017240580709
"Pontine.crossing.tract.(a.part.of.MCP)",0.0582564443950586
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.0426492763613519
"Cingulum.(hippocampus).R",0.009062641133721
