"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.109053128502499
"Inferior.fronto-occipital.fasciculus.R",0.102736316325431
"Anterior.limb.of.internal.capsule.L",0.0857289231892717
"Superior.corona.radiata.L",0.0746424534465157
"Pontine.crossing.tract.(a.part.of.MCP)",0.0635404314686873
"Fornix.(column.and.body.of.fornix)",0.05120129109016
"Medial.lemniscus.R",0.022734614438054
"Cingulum.(hippocampus).R",0.017754985135919
"Tapetum.R",0.0173520941285335
"Inferior.cerebellar.peduncle.R",0.0154698605150805
"Body.of.corpus.callosum",0.00291067433452019
