"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.163136275972333
"Anterior.limb.of.internal.capsule.L",0.141212344849805
"Inferior.fronto-occipital.fasciculus.R",0.128276059935458
"Superior.corona.radiata.L",0.102631567303695
"Pontine.crossing.tract.(a.part.of.MCP)",0.0723684400501747
"Fornix.(column.and.body.of.fornix)",0.0673097899690261
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.0393734542379927
"Medial.lemniscus.R",0.0153453396408735
"Cingulum.(cingulate.gyrus).R",0.00730433708373034
