"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.121554210027523
"Inferior.fronto-occipital.fasciculus.R",0.0881133214351887
"Superior.corona.radiata.L",0.0725068712213015
"Medial.lemniscus.R",0.039662484992203
"Pontine.crossing.tract.(a.part.of.MCP)",0.0361153220335368
"Medial.lemniscus.L",0.0320424158013739
"External.capsule.R",0.0315536364558942
"Middle.cerebellar.peduncle",0.0268858469799959
"Inferior.cerebellar.peduncle.R",0.0164143920304936
"Inferior.fronto-occipital.fasciculus.L",0.0100822016226367
"Genu.of.corpus.callosum",0.00813201922770498
