"Feature","Gain"
"Anterior.limb.of.internal.capsule.L",0.160703040693678
"Superior.cerebellar.peduncle.L",0.144759012041653
"Inferior.fronto-occipital.fasciculus.R",0.111280717523438
"Superior.corona.radiata.L",0.0883524300268188
"Pontine.crossing.tract.(a.part.of.MCP)",0.061385168711887
"Fornix.(column.and.body.of.fornix)",0.0550004094346646
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.049058879484628
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0247789094254003
"Tapetum.R",0.0220890710337202
"Posterior.limb.of.internal.capsule.R",0.0149334237031802
