"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.157739435899251
"Anterior.limb.of.internal.capsule.L",0.122121116645995
"Inferior.fronto-occipital.fasciculus.R",0.114040568595071
"Superior.corona.radiata.L",0.103439401722823
"Pontine.crossing.tract.(a.part.of.MCP)",0.0687938324442131
"Uncinate.fasciculus.R",0.0555718031829824
"Fornix.(column.and.body.of.fornix)",0.0469793675717877
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.0402067053934072
"Tapetum.L",0.0191323853245521
"Medial.lemniscus.L",0.0149043199223834
"Inferior.cerebellar.peduncle.L",0.00868504988129977
