"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.187286187861549
"Inferior.fronto-occipital.fasciculus.R",0.135141457797546
"Anterior.limb.of.internal.capsule.L",0.108869314374752
"Superior.corona.radiata.L",0.103151743142116
"Fornix.(column.and.body.of.fornix)",0.0768541569447203
"Pontine.crossing.tract.(a.part.of.MCP)",0.0635585167629195
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.0409939941429573
"Medial.lemniscus.R",0.0278908077699418
"Medial.lemniscus.L",0.0171630867771408
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0134491173302976
"Superior.cerebellar.peduncle.R",0.00997197381009062
"Inferior.cerebellar.peduncle.L",0.00698893944490897
