"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.150463301626795
"Anterior.limb.of.internal.capsule.L",0.144226555425843
"Inferior.fronto-occipital.fasciculus.R",0.124797027107756
"Superior.corona.radiata.L",0.100342027774204
"Pontine.crossing.tract.(a.part.of.MCP)",0.0776790050706446
"Fornix.(column.and.body.of.fornix)",0.0560551292469344
"Uncinate.fasciculus.R",0.0413709027018527
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.0370913930378559
"Medial.lemniscus.R",0.022734222260925
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0162328834871047
"Inferior.cerebellar.peduncle.L",0.0135504110830873
