"Feature","Gain"
"External.capsule.R",0.214997076196396
"Middle.cerebellar.peduncle",0.109291851730158
"Medial.lemniscus.R",0.103541074514441
"Anterior.limb.of.internal.capsule.R",0.0998457700289245
"Pontine.crossing.tract.(a.part.of.MCP)",0.0671271533962279
"Genu.of.corpus.callosum",0.0420999428952797
"Inferior.fronto-occipital.fasciculus.L",0.0310367322033048
"Inferior.cerebellar.peduncle.R",0.0218190773324623
"Medial.lemniscus.L",0.0215545739769018
"Corticospinal.tract.R",0.0161080321241918
"Tapetum.L",0.0134719390990607
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.012389025836074
"Uncinate.fasciculus.L",0.0118611287391878
"Posterior.limb.of.internal.capsule.R",0.00991017043496037
"Retrolenticular.part.of.internal.capsule.L",0.0094280498950235
"Corticospinal.tract.L",0.00772411908472415
"Fornix.(column.and.body.of.fornix)",0.00721535342404902
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).R",0.00695031877184138
"Posterior.corona.radiata.L",0.00694774730392842
"Retrolenticular.part.of.internal.capsule.R",0.00662734694448202
"Cingulum.(hippocampus).R",0.00597038182360287
"Posterior.limb.of.internal.capsule.L",0.0030791309191089
