"Feature","Gain"
"Middle.cerebellar.peduncle",0.158777197548707
"Uncinate.fasciculus.R",0.131086505696595
"Cerebral.peduncle.L",0.0823854555382755
"Anterior.limb.of.internal.capsule.R",0.068856635271612
"Medial.lemniscus.R",0.0678140605227053
"Cingulum.(hippocampus).R",0.0571392121203608
"Corticospinal.tract.R",0.0553891031535309
"Genu.of.corpus.callosum",0.0499898134394419
"Uncinate.fasciculus.L",0.0317750092307281
"Pontine.crossing.tract.(a.part.of.MCP)",0.0242435095124586
"Body.of.corpus.callosum",0.0237704664152311
"External.capsule.R",0.016270222494613
"Retrolenticular.part.of.internal.capsule.L",0.00992967378404249
"Fornix.(column.and.body.of.fornix)",0.00795225547269964
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00442017952779397
"Splenium.of.corpus.callosum",0.00429256445022784
"Inferior.cerebellar.peduncle.R",0.00419654670231409
"Medial.lemniscus.L",0.00304495966411823
"Inferior.fronto-occipital.fasciculus.L",0.00300906878247569
"Superior.cerebellar.peduncle.R",0.00189794872200746
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).R",0.00183735161860489
"Tapetum.R",0.000735735914503887
