"Feature","Gain"
"Middle.cerebellar.peduncle",0.297546164309429
"Medial.lemniscus.R",0.128584089798473
"Anterior.limb.of.internal.capsule.R",0.127750830247039
"Cingulum.(hippocampus).R",0.0855038555045253
"Genu.of.corpus.callosum",0.054906540436789
"Posterior.corona.radiata.L",0.0429858100180551
"Pontine.crossing.tract.(a.part.of.MCP)",0.0289338845851894
"Body.of.corpus.callosum",0.0192743695745703
"Uncinate.fasciculus.L",0.0188791562330911
"Cerebral.peduncle.L",0.0179676796862477
"Inferior.cerebellar.peduncle.R",0.0174710879496267
"Corticospinal.tract.R",0.013437919975597
"Medial.lemniscus.L",0.0110956799050393
"Retrolenticular.part.of.internal.capsule.L",0.0105747284752361
"External.capsule.R",0.0102732174425397
"Posterior.corona.radiata.R",0.00967954199277056
"Superior.longitudinal.fasciculus.R",0.008145387273507
"Corticospinal.tract.L",0.00744322313938112
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0064503565581678
"Fornix.(column.and.body.of.fornix)",0.00471292705080187
"Retrolenticular.part.of.internal.capsule.R",0.00364319305937849
"Cingulum.(cingulate.gyrus).L",0.00252049585118846
"Tapetum.L",0.00232867598064868
"Inferior.cerebellar.peduncle.L",0.00229964669520332
