"Feature","Gain"
"Middle.cerebellar.peduncle",0.158663740885227
"Anterior.limb.of.internal.capsule.R",0.118540638725481
"Uncinate.fasciculus.L",0.117495981641758
"Medial.lemniscus.R",0.103731664526748
"Cerebral.peduncle.L",0.0678703665951702
"Uncinate.fasciculus.R",0.0659524134784042
"External.capsule.R",0.0578244832483467
"Genu.of.corpus.callosum",0.0393733373669231
"Cingulum.(hippocampus).R",0.038733318366455
"Pontine.crossing.tract.(a.part.of.MCP)",0.0315269776856701
"Fornix.(column.and.body.of.fornix)",0.0206821506025208
"Body.of.corpus.callosum",0.0178978575941755
"Corticospinal.tract.L",0.0167347478483413
"Corticospinal.tract.R",0.0114120845008154
"Inferior.cerebellar.peduncle.R",0.00621396565344699
"Posterior.limb.of.internal.capsule.L",0.00617785070913713
"Retrolenticular.part.of.internal.capsule.L",0.00554973857066756
"Inferior.fronto-occipital.fasciculus.L",0.00459014544671857
"Superior.cerebellar.peduncle.R",0.00266765942102428
"External.capsule.L",0.00253411528186936
"Anterior.corona.radiata.L",0.00248612556435119
"Posterior.thalamic.radiation.(include.optic.radiation).L",0.0010898024123909
"Retrolenticular.part.of.internal.capsule.R",0.000898737827462545
"Posterior.limb.of.internal.capsule.R",0.00042830510685437
