"Feature","Gain"
"Middle.cerebellar.peduncle",0.174153782601978
"Anterior.limb.of.internal.capsule.R",0.157438129997669
"Medial.lemniscus.R",0.128673311243165
"Genu.of.corpus.callosum",0.0764391089388244
"Pontine.crossing.tract.(a.part.of.MCP)",0.0558731602278766
"Retrolenticular.part.of.internal.capsule.L",0.0374391436665985
"Inferior.cerebellar.peduncle.R",0.0251597594163538
"Posterior.corona.radiata.R",0.0245119312440838
"Inferior.fronto-occipital.fasciculus.L",0.0211363059210654
"Uncinate.fasciculus.L",0.011200507878063
"Inferior.cerebellar.peduncle.L",0.0107511071290605
"Medial.lemniscus.L",0.0100881277151666
"Posterior.limb.of.internal.capsule.L",0.00650449762380881
"Retrolenticular.part.of.internal.capsule.R",0.00571089901856341
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00495639831671212
"Corticospinal.tract.R",0.00485986790028763
"Corticospinal.tract.L",0.00433501511213867
"Cingulum.(cingulate.gyrus).L",0.00143830977083943
"Tapetum.L",0.0012706152640755
