"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.153946748116195
"Cerebral.peduncle.L",0.112364162477232
"Middle.cerebellar.peduncle",0.101922537418171
"Medial.lemniscus.R",0.0972629709007186
"Cingulum.(hippocampus).R",0.0747338803269422
"Genu.of.corpus.callosum",0.0672528430590291
"Uncinate.fasciculus.L",0.0394501920028707
"Posterior.limb.of.internal.capsule.L",0.0343082742123332
"Retrolenticular.part.of.internal.capsule.L",0.0250987670075621
"Sagittal.stratum.(include.inferior.longitidinal.fasciculus.and.inferior.fronto-occipital.fasciculus).R",0.0238741024744661
"Medial.lemniscus.L",0.0230330277596683
