"Feature","Gain"
"Cingulum.(hippocampus).R",0.105624726688069
"Anterior.limb.of.internal.capsule.R",0.0820059497735154
"Medial.lemniscus.R",0.0728601018007521
"Body.of.corpus.callosum",0.0389158144450136
"Pontine.crossing.tract.(a.part.of.MCP)",0.0379152971805163
"Cerebral.peduncle.L",0.0372093981985999
"Genu.of.corpus.callosum",0.0299220678693906
"External.capsule.R",0.0266433671289117
"Corticospinal.tract.R",0.0259362938609093
"Uncinate.fasciculus.L",0.0241122403720809
"Posterior.limb.of.internal.capsule.L",0.0168088715075832
"Corticospinal.tract.L",0.0144644142144353
"Posterior.corona.radiata.L",0.01231115462554
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0103963385290435
"Retrolenticular.part.of.internal.capsule.L",0.00827632761057874
