"Feature","Gain"
"Middle.cerebellar.peduncle",0.21236013605503
"Medial.lemniscus.R",0.120656606733846
"Anterior.limb.of.internal.capsule.R",0.119115036097937
"Pontine.crossing.tract.(a.part.of.MCP)",0.083128207913796
"Genu.of.corpus.callosum",0.0651367839224657
"Inferior.fronto-occipital.fasciculus.L",0.0375576331464187
"Retrolenticular.part.of.internal.capsule.L",0.0261454711206997
"Posterior.corona.radiata.R",0.0237726341472921
"Uncinate.fasciculus.R",0.0166616526990488
"Posterior.limb.of.internal.capsule.L",0.00772253491189423
"Uncinate.fasciculus.L",0.00616867085487041
"Medial.lemniscus.L",0.00614774165246878
"Retrolenticular.part.of.internal.capsule.R",0.00436356262335802
