"Feature","Gain"
"Middle.cerebellar.peduncle",0.14002909272739
"Uncinate.fasciculus.R",0.124985381986025
"Anterior.limb.of.internal.capsule.R",0.0978570911260949
"Cingulum.(hippocampus).R",0.0864432664514176
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0664191660517578
"Cerebral.peduncle.L",0.0621180343932973
"Corticospinal.tract.R",0.0551889565773034
"Medial.lemniscus.R",0.0550464501815585
"Medial.lemniscus.L",0.0332028636196928
"Genu.of.corpus.callosum",0.0317365464863802
"Uncinate.fasciculus.L",0.0218241629951425
"Pontine.crossing.tract.(a.part.of.MCP)",0.0207827022762434
"Posterior.corona.radiata.R",0.0192740825264993
"External.capsule.R",0.0154313748500368
"Posterior.limb.of.internal.capsule.L",0.014099697203291
"Anterior.corona.radiata.L",0.0136398687012849
"Retrolenticular.part.of.internal.capsule.L",0.0118159150908102
"Body.of.corpus.callosum",0.00858764213139578
"Inferior.fronto-occipital.fasciculus.L",0.00688854809420977
"Posterior.corona.radiata.L",0.00550450426130928
"Anterior.limb.of.internal.capsule.L",0.00542461787577026
"Sagittal.stratum.(include.inferior.longitidinal.fasciculus.and.inferior.fronto-occipital.fasciculus).R",0.00422664587480325
"Inferior.cerebellar.peduncle.R",0.00284154661991277
"Fornix.(column.and.body.of.fornix)",0.00113125224676717
"Splenium.of.corpus.callosum",0.000912692522538924
"Tapetum.L",0.000581467512999694
"Superior.cerebellar.peduncle.R",0.000439947664899773
