"Feature","Gain"
"Middle.cerebellar.peduncle",0.16772087696206
"Uncinate.fasciculus.L",0.122413502485841
"Anterior.limb.of.internal.capsule.R",0.110995546634558
"Medial.lemniscus.R",0.105921094633395
"Cerebral.peduncle.L",0.0836166317592211
"Uncinate.fasciculus.R",0.0760945538535585
"Genu.of.corpus.callosum",0.041935207520314
"External.capsule.R",0.0352155602233517
"Cingulum.(hippocampus).R",0.0330477712038066
"Posterior.corona.radiata.R",0.0327437287313548
"Pontine.crossing.tract.(a.part.of.MCP)",0.0279857635542866
"Fornix.(column.and.body.of.fornix)",0.0255898104904722
"Body.of.corpus.callosum",0.0168947543381954
"Corticospinal.tract.L",0.0116761161319258
"Retrolenticular.part.of.internal.capsule.L",0.00747816900893973
"Splenium.of.corpus.callosum",0.00730616193264236
"Corticospinal.tract.R",0.00591647518308588
"Anterior.corona.radiata.L",0.00506028170382654
"Inferior.cerebellar.peduncle.L",0.00282621344855609
"Cerebral.peduncle.R",0.00244608882390444
"Posterior.limb.of.internal.capsule.L",0.00198906480823393
"Inferior.cerebellar.peduncle.R",0.00077913907493378
"Posterior.limb.of.internal.capsule.R",0.000720585245227728
"Tapetum.L",0.000391299696258934
