"Feature","Gain"
"Middle.cerebellar.peduncle",0.188748648410463
"Cerebral.peduncle.L",0.16822593108911
"Anterior.limb.of.internal.capsule.R",0.152269517275922
"Cingulum.(hippocampus).R",0.080620230142905
"Uncinate.fasciculus.R",0.0458122244349045
"Inferior.cerebellar.peduncle.R",0.0415031952009281
"Corticospinal.tract.R",0.0390036149434845
"Medial.lemniscus.R",0.0386592971659147
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0317674884273051
"Genu.of.corpus.callosum",0.0277386883625659
"Pontine.crossing.tract.(a.part.of.MCP)",0.0228505065342653
"Inferior.fronto-occipital.fasciculus.L",0.0201161167607643
"External.capsule.R",0.0175462674726818
"Uncinate.fasciculus.L",0.0169100804557652
"Retrolenticular.part.of.internal.capsule.L",0.0155389270309879
"Body.of.corpus.callosum",0.0130679966116199
"Posterior.limb.of.internal.capsule.L",0.0108013421050521
"Medial.lemniscus.L",0.00814143440676843
"Fornix.(column.and.body.of.fornix)",0.00301844408975084
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00190597888546271
"Tapetum.L",0.00140130974520288
"Posterior.limb.of.internal.capsule.R",0.000899042907553207
"Cerebral.peduncle.R",0.000468618239921723
"Anterior.limb.of.internal.capsule.L",0.000451929793441471
"Tapetum.R",0.000174273181747292
"Posterior.thalamic.radiation.(include.optic.radiation).L",3.07520592909714e-05
