"Feature","Gain"
"Middle.cerebellar.peduncle",0.207992214211216
"Uncinate.fasciculus.R",0.108926106288312
"Anterior.limb.of.internal.capsule.R",0.107631381304908
"Medial.lemniscus.R",0.107404165399611
"Cerebral.peduncle.L",0.065379571319041
"Cingulum.(hippocampus).R",0.0596582839345845
"Corticospinal.tract.R",0.0317837953349777
"Superior.longitudinal.fasciculus.R",0.0315566885749485
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0295763515623689
"Pontine.crossing.tract.(a.part.of.MCP)",0.0248083068790089
"Inferior.cerebellar.peduncle.R",0.0232546195810761
"Retrolenticular.part.of.internal.capsule.L",0.020860160060163
"Retrolenticular.part.of.internal.capsule.R",0.0172609590050244
"Genu.of.corpus.callosum",0.017246574227637
"External.capsule.R",0.0142564122148112
"Body.of.corpus.callosum",0.0142248495946957
"Inferior.cerebellar.peduncle.L",0.0138919397775935
"Uncinate.fasciculus.L",0.0128327477657285
"Posterior.corona.radiata.R",0.0121317529383076
"Medial.lemniscus.L",0.0104900002541362
"Posterior.corona.radiata.L",0.00815661943152812
"Posterior.limb.of.internal.capsule.R",0.00624867907579784
"Corticospinal.tract.L",0.00587536322954508
"Fornix.(column.and.body.of.fornix)",0.00282488393850921
"Inferior.fronto-occipital.fasciculus.L",0.00125202863525557
"Superior.cerebellar.peduncle.R",0.00112276698453815
"Sagittal.stratum.(include.inferior.longitidinal.fasciculus.and.inferior.fronto-occipital.fasciculus).R",0.00103630992279371
"Cerebral.peduncle.R",0.000209556348405807
