"Feature","Gain"
"Corticospinal.tract.R",0.193272298247615
"Uncinate.fasciculus.R",0.0709641946992214
"Cerebral.peduncle.L",0.0563078253081133
"External.capsule.R",0.0512067679197428
"Genu.of.corpus.callosum",0.0507012876430684
"Inferior.cerebellar.peduncle.R",0.0479322859785729
"Body.of.corpus.callosum",0.0421100872345428
"Inferior.fronto-occipital.fasciculus.L",0.0375512911673745
"Cingulum.(hippocampus).R",0.0369143515527523
"Medial.lemniscus.R",0.0348780083120615
"Posterior.corona.radiata.R",0.024038727667776
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0223477486664602
"Uncinate.fasciculus.L",0.0219224471740769
"Pontine.crossing.tract.(a.part.of.MCP)",0.0199704219198209
"Anterior.limb.of.internal.capsule.L",0.0167847027105918
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0156714234549857
"Superior.cerebellar.peduncle.R",0.0150140427198662
"Anterior.corona.radiata.L",0.0113369695046459
"Retrolenticular.part.of.internal.capsule.R",0.00826906592500212
"Middle.cerebellar.peduncle",0.00636420545582887
"Medial.lemniscus.L",0.00593725585024686
"Sagittal.stratum.(include.inferior.longitidinal.fasciculus.and.inferior.fronto-occipital.fasciculus).R",0.0033369155715411
"Posterior.limb.of.internal.capsule.R",0.0024238706682375
"Superior.corona.radiata.L",0.0014624330431337
