"Feature","Gain"
"Middle.cerebellar.peduncle",0.280358232771015
"Medial.lemniscus.R",0.170493014264871
"Cingulum.(hippocampus).R",0.105243315685271
"Anterior.limb.of.internal.capsule.R",0.0896299861034429
"Genu.of.corpus.callosum",0.0447540329935404
"Posterior.corona.radiata.L",0.0323637085732189
"Pontine.crossing.tract.(a.part.of.MCP)",0.0309188634884205
"Cerebral.peduncle.L",0.0287714094106677
"Anterior.corona.radiata.L",0.0261820950975063
"Inferior.cerebellar.peduncle.R",0.0179826575860912
"Medial.lemniscus.L",0.0141455514097131
"Uncinate.fasciculus.L",0.0141223078406372
"Posterior.corona.radiata.R",0.0133148492207709
"Corticospinal.tract.R",0.0106639483316225
"External.capsule.R",0.00982722660697392
"Posterior.limb.of.internal.capsule.L",0.00947856075726938
"Retrolenticular.part.of.internal.capsule.L",0.0092720571993278
"Anterior.limb.of.internal.capsule.L",0.00899913556097993
"Fornix.(column.and.body.of.fornix)",0.00811792277328934
"Corticospinal.tract.L",0.00775490074376965
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00549039751372883
"Anterior.corona.radiata.R",0.00233485556034117
"Tapetum.L",0.00205951529003235
"Retrolenticular.part.of.internal.capsule.R",0.00151862901393458
"Cingulum.(cingulate.gyrus).L",0.00135132650432046
"Cingulum.(cingulate.gyrus).R",0.000194450580285061
