"Feature","Gain"
"Middle.cerebellar.peduncle",0.284865206051759
"Uncinate.fasciculus.R",0.0898791071622803
"Anterior.limb.of.internal.capsule.L",0.0668349650292604
"Cingulum.(hippocampus).R",0.05968856053104
"Anterior.limb.of.internal.capsule.R",0.0593243313505512
"Genu.of.corpus.callosum",0.0488992517434318
"Cerebral.peduncle.L",0.0408154516517396
"Uncinate.fasciculus.L",0.0357495378134102
"Pontine.crossing.tract.(a.part.of.MCP)",0.0346575087290492
"Body.of.corpus.callosum",0.0313774468342686
"Posterior.corona.radiata.R",0.0295409213707041
"Medial.lemniscus.R",0.0267211051891344
"Corticospinal.tract.R",0.0258266458432972
"Medial.lemniscus.L",0.0253589122910514
"External.capsule.R",0.023215022888916
"Posterior.limb.of.internal.capsule.L",0.0210624485075879
"Posterior.corona.radiata.L",0.0144816633102614
"Corticospinal.tract.L",0.0109873031029827
"Tapetum.L",0.00451553789374816
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0028834986903673
"Retrolenticular.part.of.internal.capsule.R",0.00272343019718908
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).R",0.00156176785565938
"Retrolenticular.part.of.internal.capsule.L",0.00141934334717017
"Cerebral.peduncle.R",0.000779638865175682
"Tapetum.R",8.433303337731e-06
