"Feature","Gain"
"Inferior.cerebellar.peduncle.R",0.21483607465591
"Fornix.(column.and.body.of.fornix)",0.164873002919978
"Medial.lemniscus.L",0.105810261075373
"Uncinate.fasciculus.L",0.0854479071706116
"Cerebral.peduncle.L",0.0471642293522272
"Inferior.cerebellar.peduncle.L",0.0323973765859234
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0212052484166345
"Anterior.limb.of.internal.capsule.L",0.0189567431184768
"Anterior.corona.radiata.L",0.0155868367845817
"Retrolenticular.part.of.internal.capsule.R",0.0131563468088578
"Pontine.crossing.tract.(a.part.of.MCP)",0.0124758193501343
"Corticospinal.tract.R",0.0120526101913577
"Middle.cerebellar.peduncle",0.0118541029455049
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00899290024863876
"Medial.lemniscus.R",0.00747251567950626
"Sagittal.stratum.(include.inferior.longitidinal.fasciculus.and.inferior.fronto-occipital.fasciculus).R",0.00672920163235693
"Cerebral.peduncle.R",0.00474424456894435
"Splenium.of.corpus.callosum",0.00106356395158133
