"Feature","Gain"
"Uncinate.fasciculus.L",0.157722171145148
"Inferior.cerebellar.peduncle.R",0.126344478700296
"Fornix.(column.and.body.of.fornix)",0.112277319533547
"Uncinate.fasciculus.R",0.0604787108803581
"Cerebral.peduncle.L",0.0477112371494591
"Medial.lemniscus.L",0.044718804987891
"Anterior.limb.of.internal.capsule.L",0.0340318530408997
"Corticospinal.tract.L",0.0264757628155995
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0222699138806567
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0166676711447832
"Retrolenticular.part.of.internal.capsule.R",0.0129702434914653
"Medial.lemniscus.R",0.0123762967254225
"Retrolenticular.part.of.internal.capsule.L",0.011696727589924
"Cingulum.(hippocampus).L",0.0114001622699243
"Posterior.limb.of.internal.capsule.R",0.0087563815814447
"Corticospinal.tract.R",0.00592809447907515
"Pontine.crossing.tract.(a.part.of.MCP)",0.00537807468692034
"Genu.of.corpus.callosum",0.00353648558105131
"Middle.cerebellar.peduncle",0.00324741920528391
