"Feature","Gain"
"Uncinate.fasciculus.L",0.140447822644371
"Inferior.cerebellar.peduncle.R",0.105728579441075
"Fornix.(column.and.body.of.fornix)",0.0998206270643286
"Corticospinal.tract.L",0.0516667031596623
"Cerebral.peduncle.L",0.0509393815734581
"Anterior.limb.of.internal.capsule.L",0.0415469832926926
"Cingulum.(hippocampus).L",0.0399155430098198
"Retrolenticular.part.of.internal.capsule.R",0.0357329888313454
"Medial.lemniscus.R",0.0264621726458431
"Inferior.cerebellar.peduncle.L",0.0170606177457451
"Anterior.limb.of.internal.capsule.R",0.0169952257519599
"Medial.lemniscus.L",0.0148510548951079
"Cingulum.(cingulate.gyrus).L",0.0140604391579116
"Body.of.corpus.callosum",0.0131546044388323
"Corticospinal.tract.R",0.00985397873748434
"Middle.cerebellar.peduncle",0.00667568433817118
"Inferior.fronto-occipital.fasciculus.R",0.00634189676029278
"Tapetum.R",0.00580938919415089
"Genu.of.corpus.callosum",0.00531032767504257
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00424713478976826
"Cerebral.peduncle.R",0.00289693201119242
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.00223510411624922
"Pontine.crossing.tract.(a.part.of.MCP)",0.00193964981843302
