"Feature","Gain"
"Inferior.cerebellar.peduncle.R",0.148017944198287
"Uncinate.fasciculus.L",0.133057547684277
"Fornix.(column.and.body.of.fornix)",0.104799204829887
"Uncinate.fasciculus.R",0.0643367659067172
"Medial.lemniscus.L",0.0430993355152575
"Anterior.corona.radiata.L",0.0403397305933707
"Cerebral.peduncle.L",0.0283468282120306
"Body.of.corpus.callosum",0.0277984067999716
"Cingulum.(cingulate.gyrus).R",0.0161327464626183
"Medial.lemniscus.R",0.0155427463291918
"Corticospinal.tract.L",0.0151506181422851
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00780351990523342
"Pontine.crossing.tract.(a.part.of.MCP)",0.0067756559649283
"Middle.cerebellar.peduncle",0.00427722932119257
"Genu.of.corpus.callosum",0.00374735680666976
