"Feature","Gain"
"Uncinate.fasciculus.L",0.164232125423256
"Inferior.cerebellar.peduncle.R",0.116183788806055
"Uncinate.fasciculus.R",0.0585737410572272
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0516887140093248
"Cerebral.peduncle.L",0.0495353228128628
"Medial.lemniscus.L",0.0311213919563428
"Inferior.cerebellar.peduncle.L",0.0272667990950618
"Anterior.limb.of.internal.capsule.L",0.0249065458084677
"Superior.corona.radiata.L",0.024728630862549
"Posterior.corona.radiata.L",0.0242370675094768
"Retrolenticular.part.of.internal.capsule.L",0.0196243774763104
"Corticospinal.tract.L",0.015311960566262
"External.capsule.R",0.0144322898814297
"Fornix.(column.and.body.of.fornix)",0.0143907847111563
"Superior.cerebellar.peduncle.R",0.0141631747913348
"Pontine.crossing.tract.(a.part.of.MCP)",0.0112721094809673
"Posterior.thalamic.radiation.(include.optic.radiation).L",0.0107804377370948
"Medial.lemniscus.R",0.00951733358112276
"Superior.corona.radiata.R",0.0089294790466821
"Anterior.limb.of.internal.capsule.R",0.00796899024415319
"Middle.cerebellar.peduncle",0.00696869950814176
"Posterior.limb.of.internal.capsule.L",0.00490859452797732
