"Feature","Gain"
"Uncinate.fasciculus.L",0.152191242403776
"Inferior.cerebellar.peduncle.R",0.125187061674253
"External.capsule.L",0.0535613916292889
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0401312696602936
"Anterior.limb.of.internal.capsule.L",0.0389432096406768
"Fornix.(column.and.body.of.fornix)",0.0351083924994401
"Medial.lemniscus.R",0.0247812287096107
"Corticospinal.tract.L",0.0168774226474679
"Superior.corona.radiata.L",0.0134174643913929
"Retrolenticular.part.of.internal.capsule.R",0.0124024779518722
"Inferior.cerebellar.peduncle.L",0.0110924838987614
