"Feature","Gain"
"Uncinate.fasciculus.L",0.160758192715666
"Inferior.cerebellar.peduncle.R",0.136966429997721
"Fornix.(column.and.body.of.fornix)",0.0923380989082324
"Anterior.limb.of.internal.capsule.L",0.0498577857459849
"Medial.lemniscus.L",0.0442902571227001
"Uncinate.fasciculus.R",0.0429560225487017
"Anterior.corona.radiata.L",0.0342232320475767
"Retrolenticular.part.of.internal.capsule.R",0.0231887656345303
"Inferior.cerebellar.peduncle.L",0.0200792964394522
"Medial.lemniscus.R",0.0195285513740589
"Corticospinal.tract.L",0.015959484590124
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0143697357524181
"External.capsule.R",0.0115241394122248
"Corticospinal.tract.R",0.00887096076115173
"Pontine.crossing.tract.(a.part.of.MCP)",0.0078996059607838
"Genu.of.corpus.callosum",0.00407348749560764
