"Feature","Gain"
"Inferior.cerebellar.peduncle.R",0.187808567008592
"Uncinate.fasciculus.R",0.0712054579108985
"Retrolenticular.part.of.internal.capsule.R",0.0595198315814138
"Anterior.limb.of.internal.capsule.L",0.057631669765449
"Fornix.(column.and.body.of.fornix)",0.0503595899057172
"Retrolenticular.part.of.internal.capsule.L",0.0322681850205622
"Posterior.corona.radiata.L",0.0168349868322926
"Medial.lemniscus.R",0.00666885904915477
"Inferior.cerebellar.peduncle.L",0.00503917874561806
