"Feature","Gain"
"Inferior.cerebellar.peduncle.R",0.186486514212474
"Uncinate.fasciculus.L",0.137002126597714
"Fornix.(column.and.body.of.fornix)",0.116942267888931
"Anterior.limb.of.internal.capsule.L",0.04084684838936
"Anterior.corona.radiata.L",0.0310233303742387
"Medial.lemniscus.L",0.0290553765319105
"Cerebral.peduncle.L",0.0286533956346502
"Anterior.limb.of.internal.capsule.R",0.0150696160075594
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.0141222368310523
"Pontine.crossing.tract.(a.part.of.MCP)",0.0131283613771323
"Superior.corona.radiata.L",0.0127775966345856
"Medial.lemniscus.R",0.0119971887946418
"Corticospinal.tract.L",0.0100586445750796
"Posterior.limb.of.internal.capsule.L",0.00586248609281843
"Superior.corona.radiata.R",0.00467537447728102
"Middle.cerebellar.peduncle",0.00421635628242328
"Corticospinal.tract.R",0.00375011858761904
